City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
302,Alice Springs,-23.7,133.88,46.4,28,0,3.36,AU,clear sky
303,Nenjiang,49.18,125.22,59.79,76,100,14.85,CN,overcast clouds
304,Yenagoa,4.92,6.26,74.52,92,100,5.3,NG,overcast clouds
305,Port Macquarie,-31.43,152.92,46.0,83,0,7.25,AU,clear sky
306,Nizhniy Baskunchak,48.22,46.83,73.47,64,98,4.59,RU,overcast clouds
307,Shingu,33.73,135.98,77.0,88,33,4.5,JP,light rain
308,Lavrentiya,65.58,-171.0,48.09,81,92,3.89,RU,overcast clouds
309,Sur,22.57,59.53,83.35,69,96,15.19,OM,overcast clouds
310,Mansa,29.98,75.38,85.75,54,47,2.89,IN,scattered clouds
311,Port Hedland,-20.32,118.57,66.2,68,11,8.05,AU,few clouds
312,Dzaoudzi,-12.79,45.27,75.2,78,50,5.82,YT,scattered clouds
313,Skelleftea,64.75,20.95,59.0,54,98,4.7,SE,overcast clouds
314,Beloha,-25.17,45.05,78.53,45,86,7.83,MG,overcast clouds
315,Alma,48.55,-71.65,61.0,63,40,12.75,CA,scattered clouds
316,Sept-Iles,50.2,-66.38,60.8,48,75,12.75,CA,broken clouds
317,Kavieng,-2.57,150.8,81.81,80,99,12.44,PG,light rain
318,Belmonte,-15.86,-38.88,77.0,69,40,11.41,BR,scattered clouds
319,Xinzhou,38.41,112.73,67.64,79,25,1.41,CN,scattered clouds
320,Caucasia,7.99,-75.19,87.96,64,72,3.98,CO,broken clouds
321,Kirakira,-10.45,161.92,79.63,83,100,12.08,SB,overcast clouds
322,San Jeronimo,-11.95,-75.28,65.34,26,0,1.72,PE,clear sky
323,Quatre Cocos,-20.21,57.76,73.4,73,75,10.29,MU,broken clouds
324,Charters Towers,-20.1,146.27,55.35,65,0,10.42,AU,clear sky
325,San Andres,12.58,-81.7,87.8,74,40,9.17,CO,scattered clouds
326,Carmen,18.63,-91.83,84.61,76,36,10.33,MX,scattered clouds
327,Okha,53.57,142.95,49.78,89,91,7.18,RU,overcast clouds
328,Klyuchi,52.27,79.17,60.51,66,23,2.98,RU,few clouds
329,Hurghada,27.26,33.81,91.4,36,0,10.29,EG,clear sky
330,Bentiu,9.23,29.83,77.07,78,39,2.3,SS,scattered clouds
331,The Valley,18.22,-63.06,87.8,70,40,12.75,AI,scattered clouds
332,Inta,66.03,60.17,51.62,79,68,8.72,RU,broken clouds
333,Igarka,67.47,86.58,53.11,80,38,4.7,RU,scattered clouds
334,Dasoguz,41.84,59.97,78.8,34,0,6.93,TM,clear sky
